name;episodes;size;code;discount
Akiba Maid Sensou BD;12;4.27;A2;0
Akiba's Trip The Animation;13;1.79;A1;0
Akikan!;13;0.85;A1;0
Akira BD (Movie);1;0.93;A1;0
Akkun to Kanojo BD;25;1.33;A1;0
Aku no Hana;13;1.17;A1;0
Akudama Drive BD;13;8.03;A1;0
Akuma no Riddle BD;13;2.78;A1;0
Akuma-kun (2023);12;3.92;A3;0
"Akuyaku Reijou Level 99; Watashi wa Ura-Boss desu ga Maou dewa Arimasen BD";12;5.94;A3;0
Akuyaku Reijou nanode Last Boss wo Kattemimashita;12;2.42;A2;0
Akuyaku Reijou Tensei Ojisan;12;3.64;A4;0
Aldnoah.Zero BD;12;4.22;A1;0
Aldnoah.Zero Part 2 BD;12;4.46;A1;0
Alice Gear Aegis Expansion;12;3.64;A3;0
Alice in Deadly School (OVA);1;0.42;A1;0
Alice or Alice BD;13;0.77;A1;0
Alice to Therese no Maboroshi Koujou (Movie);1;2.79;A3;0
Alice to Zouroku;12;1.17;A1;0
All Out!!;25;2.84;A1;0
Allison to Lillia;26;1.8;A1;0
Amaama to Inazuma BD;12;2.98;A1;0
Amaenaide yo!!;13;1.42;A1;0
Amaenaide yo!! Katsu!!;13;1.2;A1;0
Amagami SS BD;28;3.53;A1;0
Amagami SS+ Plus BD;21;3.43;A1;0
Amagami-san Chi no Enmusubi;24;6.24;A4;0
Amagi Brilliant Park BD;14;3.65;A1;0
Amanchu! Advance BD;12;2.81;A1;0
Amanchu! BD;12;3.34;A1;0
Amatsuki;13;0.7;A1;0
Ame to Kimi to;12;2.08;A4;0
Ame wo Tsugeru Hyouryuu Danchi BD (Movie);1;2.41;A1;0
Ame-iro Cocoa;12;0.13;A1;0
"Ame-iro Cocoa; Side G";12;0.35;A1;0
Ameku Takao no Suiri Karte;12;2.3;A4;0
Amnesia;12;0.52;A1;0
"Anata wo Hitokoto de Arawashite Kudasai; no Shitsumon ga Nigate da. (ONA)";1;0.05;A1;0
"Ane Log; Moyako Neesan no Tomaranai Monologue";3;0.21;A1;0
Ange Vierge BD;12;4.1;A1;0
Angel Beats! BD;16;4.4;A1;0
Angel Cop BD;6;4.37;A1;0
Angel Densetsu;2;0.06;A1;0
"Angolmois; Genkou Kassenki";12;1.59;A1;0
Ani ni Tsukeru Kusuri wa Nai!;12;0.36;A1;0
Ani ni Tsukeru Kusuri wa Nai! 2;24;0.71;A1;0
Ani ni Tsukeru Kusuri wa Nai! 3;12;0.33;A1;0
Ani ni Tsukeru Kusuri wa Nai! 4;12;0.91;A1;0
Ani ni Tsukeru Kusuri wa Nai! 5;12;0.27;A1;0
Anima Yell! BD;12;5.55;A1;0
Anime de Wakaru Shinryounaika;20;1.47;A1;0
Animegataris;12;1.72;A1;0
Anitore! EX;12;0.27;A1;0
"Anitore! XX; Hitotsu Yane no Shita de";12;0.28;A1;0
Anne Happy♪ BD;12;4.7;A1;0
Anne Shirley;24;5.5;A4;0
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. BD;11;4.6;A1;0
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie BD (Movie);1;2.16;A1;0
Ano Hi no Kokoro wo Toraete (ONA);1;0.05;A1;0
Ano Natsu de Matteru BD;13;2.72;A1;0
Another BD;13;2.58;A1;0
Another World;3;0.74;A1;0
Ansatsu Kyoushitsu 2nd Season BD;25;5.79;A1;0
Ansatsu Kyoushitsu BD;22;9.11;A1;0
"Ansatsu Kyoushitsu; 365-nichi no Jikan BD (Movie)";1;5.58;A1;0
Ao Ashi BD;24;8.04;A1;0
Ao Haru Ride BD;14;4.59;A1;0
Ao no 6-gou;4;0.81;A1;0
Ao no Exorcist BD;25;6;A1;0
Ao no Exorcist Movie BD (Movie);1;2.55;A1;0
"Ao no Exorcist; Kyoto Fujouou-hen BD";12;5.03;A1;0
"Ao no Exorcist; Shimane Illuminati-hen";12;4.1;A3;0
"Ao no Exorcist; Yuki no Hate-hen";12;3.82;A4;0
Ao no Hako BD;25;9.92;A4;0
Ao no Kanata no Four Rhythm BD;12;3.56;A1;0
Ao no Miburo;24;5.59;A4;0
Ao no Orchestra;24;8.62;A3;0
Aoharu x Kikanjuu;12;0.67;A1;0
Aoi Bungaku Series BD;12;3.64;A1;0
Aoi Hana BD;11;1.61;A1;0
Aoi Sekai no Chuushin de;3;0.22;A1;0
Aoi Umi no Tristia;2;0.18;A4;0
Aoki Densetsu Shoot!;58;3.92;A1;0
Aoki Densetsu Shoot! (Movie);1;0.12;A1;0
"Aoki Hagane no Arpeggio; Ars Nova BD";12;1.28;A1;0
"Aoki Hagane no Arpeggio; Ars Nova Movie 1 - DC BD (Movie)";1;0.96;A1;0
